Station ID,Station Name,First data packet,Rewardable Hours,Allocated Rewards,Max Daily Claim
033b6fb0-9636-11ec-900c-abdec1c57354,Winning Aquamarine Mesocyclones,2022-02-25,17855,1353.891728,3.709292
044493e0-8d86-11ec-900c-abdec1c57354,Gentle Slate Season,2022-02-16,16196,1228.094675,3.364643
02bc1730-994f-11ec-966b-a173bf0cd052,Gigantic Lead Centimeter,2022-03-01,17051,1292.926791,3.542265
04b026d0-93f0-11ec-900c-abdec1c57354,Precise Amber Drought,2022-02-22,12101,917.582963,2.513926
0154b920-9327-11ec-966b-a173bf0cd052,Radiant Coffee Hectopascal,2022-02-21,16613,1259.714549,3.451273
001f1c20-9323-11ec-900c-abdec1c57354,Wobbly Butter Thunder,2022-02-21,17574,1332.584331,3.650916
06c83d40-88bf-11ec-966b-a173bf0cd052,Droll Vanilla Isotherm,2022-02-08,17477,1325.229108,3.630765
07bd5630-88c0-11ec-966b-a173bf0cd052,Obedient Kobe Forecast,2022-02-08,18466,1400.222047,3.836225
09acd220-949d-11ec-900c-abdec1c57354,Digital Beige Condensation,2022-02-23,15264,1157.423878,3.171024
09fd7650-93f1-11ec-966b-a173bf0cd052,Polite Carrot Steam,2022-02-22,17965,1362.232702,3.732144
0bf779b0-9964-11ec-900c-abdec1c57354,Proper Sunset Flurry,2022-03-01,6588,499.548513,1.368626
10434580-9635-11ec-966b-a173bf0cd052,Hazy Powder Cirrus,2022-02-25,15975,1211.336900,3.318731
0be27b40-93f7-11ec-966b-a173bf0cd052,Fit Tyrian Evaporation,2022-02-22,10435,791.255121,2.167822
0d8f8e40-8e81-11ec-966b-a173bf0cd052,Overcast Tan Sunset,2022-02-15,17679,1340.546170,3.672729
12648780-9959-11ec-966b-a173bf0cd052,Rough Mocha Cloudburst,2022-03-01,15669,1188.133827,3.255161
11a9e1c0-9632-11ec-966b-a173bf0cd052,Ancient Umber Altocumulus,2022-02-25,16569,1256.378160,3.442132
13171a70-963f-11ec-900c-abdec1c57354,Cold Macaroon Sleet,2022-02-25,17662,1339.257110,3.669198
147c0ed0-8e82-11ec-900c-abdec1c57354,Rich Brandy Nimbostratus,2022-02-18,16337,1238.786287,3.393935
14b049d0-8b43-11ec-966b-a173bf0cd052,Shiny Shadow Hurricane,2022-02-11,13113,994.319923,2.724164
157a58e0-a463-11ec-900c-abdec1c57354,Able Marigold Water,2022-03-29,3711,281.394131,0.770943
15270b00-8b44-11ec-966b-a173bf0cd052,Howling Cobalt Upwind,2022-02-11,16966,1286.481493,3.524607
1585ec80-8db8-11ec-900c-abdec1c57354,Polite Lemon Uv,2022-02-14,18017,1366.175708,3.742947
16c0a480-8dba-11ec-966b-a173bf0cd052,Dazzling Cloth Thunder,2022-02-14,15167,1150.068655,3.150873
17025670-8e80-11ec-900c-abdec1c57354,Curly Pumpkin Shower,2022-02-15,18267,1385.132467,3.794883
182b0da0-9644-11ec-900c-abdec1c57354,Bitter Pine Zenith,2022-02-25,15101,1145.064071,3.137162
1ad41570-8db0-11ec-900c-abdec1c57354,Jumpy Tawny Climatology,2022-02-14,4843,367.230335,1.006111
170ab510-963a-11ec-900c-abdec1c57354,Overt Hickory Ice,2022-02-25,18141,1375.578260,3.768708
1d44f0d0-9955-11ec-966b-a173bf0cd052,Old Magnolia Rainstorm,2022-03-01,15379,1166.143987,3.194915
1c6065d0-9637-11ec-966b-a173bf0cd052,Wild Tortilla Gale,2022-02-25,9566,725.361426,1.987292
20559890-a06e-11ec-966b-a173bf0cd052,Polished Bubblegum Fahrenheit,2022-03-10,6898,523.054894,1.433027
1f0e9460-8dbc-11ec-900c-abdec1c57354,Refined Fawn Altocumulus,2022-02-14,14162,1073.862484,2.942089
2270ce40-9959-11ec-900c-abdec1c57354,Lively Seaweed Sunshine,2022-03-01,16540,1254.179175,3.436107
2172bb00-9960-11ec-900c-abdec1c57354,Docile Canvas Barometric,2022-03-01,11846,898.247068,2.460951
24da18c0-8b45-11ec-966b-a173bf0cd052,Original Misty Barometer,2022-02-11,16056,1217.478890,3.335559
24e2fb40-962e-11ec-900c-abdec1c57354,Great Admiral Longitude,2022-02-25,17219,1305.665733,3.577166
24e842e0-93f3-11ec-900c-abdec1c57354,Overcast Ceramic Derecho,2022-02-22,12281,931.231829,2.551320
25590d00-8835-11ec-966b-a173bf0cd052,Prehistoric Eggshell Uv,2022-02-09,17948,1360.943642,3.728613
25b25e10-8dbb-11ec-900c-abdec1c57354,Merry Bone Climatology,2022-02-14,12708,963.609974,2.640027
2811db00-9323-11ec-966b-a173bf0cd052,Scruffy Skobeloff Sleet,2022-02-21,15063,1142.182643,3.129268
29476490-9954-11ec-966b-a173bf0cd052,Shambolic Chestnut Contrails,2022-03-01,17020,1290.576153,3.535825
287487d0-93fc-11ec-900c-abdec1c57354,Nutty Ecru Scorcher,2022-02-22,17130,1298.917127,3.558677
2a04dbf0-9324-11ec-966b-a173bf0cd052,Great Mercurial Squall,2022-02-21,11149,845.395624,2.316152
2a7251b0-a465-11ec-900c-abdec1c57354,Precise Myrtle Flurry,2022-03-15,7183,544.665600,1.492235
2b3dc440-949c-11ec-900c-abdec1c57354,Smooth Glass Mesocyclones,2022-02-23,10157,770.175205,2.110069
30453420-995e-11ec-966b-a173bf0cd052,Clean Hickory Sunlight,2022-03-01,14854,1126.334793,3.085849
2dd798a0-8daf-11ec-966b-a173bf0cd052,Bitter Walnut Aurora,2022-02-14,1038,78.708463,0.215640
33e22dd0-995a-11ec-966b-a173bf0cd052,Striped Blood Gust,2022-03-01,15797,1197.839688,3.281753
32fc2800-9322-11ec-966b-a173bf0cd052,Bubbly Tawny Zenith,2022-02-21,12265,930.018597,2.547996
379df050-8b43-11ec-900c-abdec1c57354,Kind Amaranth Condensation,2022-02-11,17926,1359.275447,3.724042
3878ed20-8e5b-11ec-966b-a173bf0cd052,Dry Hazelnut Earth,2022-02-15,17205,1304.604154,3.574258
386aa930-9325-11ec-966b-a173bf0cd052,Amusing Cinereous Forecast,2022-02-21,18035,1367.540594,3.746687
39fb48a0-8b40-11ec-900c-abdec1c57354,Spicy Lilac Cyclone,2022-02-11,12889,977.334667,2.677629
3a08f630-93f1-11ec-900c-abdec1c57354,Helpful Pearl Smog,2022-02-22,9880,749.171116,2.052524
3d97cfd0-9642-11ec-900c-abdec1c57354,Smooth Aureolin Whirlwind,2022-02-25,2572,195.027137,0.534321
